objectid,muni_id,municipal
253,1,Abington
230,2,Acton
149,3,Acushnet
24,4,Adams
142,5,Agawam
84,6,Alford
17,7,Amesbury
11,8,Amherst
293,9,Andover
308,104,Aquinnah
207,10,Arlington
161,11,Ashburnham
54,12,Ashby
280,13,Ashfield
283,14,Ashland
132,15,Athol
185,16,Attleboro
191,17,Auburn
47,18,Avon
323,19,Ayer
107,20,Barnstable
49,21,Barre
154,22,Becket
89,23,Bedford
180,24,Belchertown
205,25,Bellingham
117,26,Belmont
26,27,Berkley
348,28,Berlin
188,29,Bernardston
300,30,Beverly
269,31,Billerica
310,32,Blackstone
92,33,Blandford
50,34,Bolton
340,35,Boston
7,36,Bourne
251,37,Boxborough
248,38,Boxford
1,39,Boylston
175,40,Braintree
36,41,Brewster
337,42,Bridgewater
129,43,Brimfield
80,44,Brockton
264,45,Brookfield
268,46,Brookline
275,47,Buckland
151,48,Burlington
346,49,Cambridge
339,50,Canton
112,51,Carlisle
218,52,Carver
224,53,Charlemont
66,54,Charlton
290,55,Chatham
263,56,Chelmsford
131,57,Chelsea
133,58,Cheshire
335,59,Chester
254,60,Chesterfield
201,61,Chicopee
75,62,Chilmark
32,63,Clarksburg
183,64,Clinton
200,65,Cohasset
168,66,Colrain
59,67,Concord
108,68,Conway
203,69,Cummington
9,70,Dalton
22,71,Danvers
202,72,Dartmouth
228,73,Dedham
137,74,Deerfield
78,75,Dennis
130,76,Dighton
74,77,Douglas
342,78,Dover
43,79,Dracut
298,80,Dudley
51,81,Dunstable
127,82,Duxbury
239,83,East Bridgewater
294,84,East Brookfield
276,85,East Longmeadow
56,86,Eastham
328,87,Easthampton
79,88,Easton
37,89,Edgartown
136,90,Egremont
317,91,Erving
4,92,Essex
212,93,Everett
145,94,Fairhaven
165,95,Fall River
13,96,Falmouth
125,97,Fitchburg
181,98,Florida
77,99,Foxborough
222,100,Framingham
196,101,Franklin
179,102,Freetown
312,103,Gardner
217,105,Georgetown
258,106,Gill
334,107,Gloucester
147,108,Goshen
118,109,Gosnold
309,110,Grafton
213,111,Granby
103,112,Granville
155,113,Great Barrington
332,114,Greenfield
162,115,Groton
69,116,Groveland
194,117,Hadley
197,118,Halifax
204,119,Hamilton
30,120,Hampden
18,121,Hancock
193,122,Hanover
286,123,Hanson
209,124,Hardwick
271,125,Harvard
38,126,Harwich
277,127,Hatfield
303,128,Haverhill
153,129,Hawley
96,130,Heath
234,131,Hingham
265,132,Hinsdale
90,133,Holbrook
278,134,Holden
345,135,Holland
331,136,Holliston
291,137,Holyoke
252,138,Hopedale
324,139,Hopkinton
14,140,Hubbardston
343,141,Hudson
52,142,Hull
297,143,Huntington
199,144,Ipswich
170,145,Kingston
240,146,Lakeville
97,147,Lancaster
114,148,Lanesborough
210,149,Lawrence
214,150,Lee
244,151,Leicester
152,152,Lenox
46,153,Leominster
259,154,Leverett
113,155,Lexington
296,156,Leyden
238,157,Lincoln
94,158,Littleton
102,159,Longmeadow
333,160,Lowell
55,161,Ludlow
68,162,Lunenburg
336,163,Lynn
341,164,Lynnfield
172,165,Malden
57,166,Manchester
187,167,Mansfield
101,168,Marblehead
150,169,Marion
34,170,Marlborough
15,171,Marshfield
316,172,Mashpee
302,173,Mattapoisett
122,174,Maynard
143,175,Medfield
58,176,Medford
287,177,Medway
219,178,Melrose
126,179,Mendon
326,180,Merrimac
279,181,Methuen
20,182,Middleborough
157,183,Middlefield
250,184,Middleton
99,185,Milford
70,186,Millbury
167,187,Millis
61,188,Millville
166,189,Milton
284,190,Monroe
315,191,Monson
171,192,Montague
318,193,Monterey
292,194,Montgomery
